iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
31,0.7374334397548187,0.05335930004071141,0.7671160447430266,0.012477683880058078,0.43417681823045207,0.06476356696905503,0.3812633186168234,0.012931225632031843
32,0.7374334397548187,0.05335930004071141,0.7665101985279981,0.012952293574049508,0.43407865625294145,0.062013855776529334,0.3790547640959991,0.012619014812546745
33,0.7260070073563949,0.049321177200470696,0.7691478553749536,0.016599486358402762,0.4359080612549834,0.06051520688402447,0.3765912916412983,0.012052068242226188
34,0.7282108641057061,0.046151050014695535,0.7712380925851458,0.015450964298586155,0.436044980259517,0.060685991890222724,0.37597288951899144,0.01231420519223184
35,0.7288984679526973,0.056071757751527077,0.7702946800504578,0.013221905140986624,0.43423244441728565,0.06157970981497146,0.37320454255782776,0.012537419074823145
36,0.73000372346929,0.049602420306973344,0.7735485842353306,0.011560485722005093,0.43544542265164904,0.06361587012271933,0.37105591573080265,0.012644986510798876
37,0.73000372346929,0.049602420306973344,0.7715861766683656,0.01192891195656511,0.43588683936151407,0.06390322462142109,0.36968290565574596,0.012272943157679888
38,0.73000372346929,0.049602420306973344,0.7723964488363332,0.012861469657142625,0.4363747543581088,0.06440138877772277,0.36890687993535637,0.0126578927635018
39,0.7314255188967771,0.046660268617893956,0.7728295450215985,0.014305757029782068,0.4360402285800645,0.06396957714674902,0.36767246440148116,0.012781955704459657
40,0.7302599215459739,0.04828809532457644,0.7727936584128228,0.014112141820123016,0.43845558912223226,0.06677879463745194,0.3666524872110739,0.013279138204509476
41,0.7290870573583156,0.04862979006853207,0.7742704747342545,0.012622445247043102,0.4402595212084508,0.06953738438684232,0.3655070969157955,0.013034889767703041
42,0.7333872656496547,0.04364317556251806,0.7768108210242046,0.016134463520056125,0.44103104966925794,0.0703049385048406,0.3627152440616313,0.015666799035739053
43,0.7312547853084579,0.04593247940135412,0.7765035529502804,0.016188321010408676,0.4415136313859305,0.07063570011661008,0.3612712470422291,0.01659296229861362
44,0.733628767337935,0.046871095312646965,0.7791365804497412,0.016516870288692812,0.440928330696838,0.07074676610220913,0.35905960826692895,0.01569999567246036
45,0.733628767337935,0.046871095312646965,0.7803687513452807,0.017419299293069984,0.440546566925327,0.07094981538386823,0.3572969836105326,0.015287038903709986
46,0.735891747804663,0.04533459540807654,0.7821307936533681,0.02014997821751271,0.4400929465282969,0.07088818690421901,0.3551833683327245,0.016763934558873077
47,0.7372140618542499,0.04747672891956493,0.783122026543634,0.020524354487602096,0.44036448987242627,0.07200150073662695,0.353779069962744,0.01652642788522313
48,0.7372140618542499,0.04747672891956493,0.7818090975673925,0.020087614863082016,0.43894520868311904,0.0708103560049891,0.3515194745757335,0.017931318643437326
49,0.7347188836170048,0.04587870193426292,0.7852677191612869,0.019509285065305543,0.43883724879042607,0.07050219576491092,0.34949243917208433,0.01805871770352509
50,0.7353907911625266,0.046964495810907975,0.7856316959293047,0.018477822111394444,0.4381395066464374,0.07337604389618821,0.34683305646312695,0.017279319512117773
51,0.7378697995591679,0.04857074753431482,0.7861073696726951,0.01878566926809992,0.4398415635112796,0.07377935481467668,0.3444689162973348,0.017716406501941707
52,0.7366969353715096,0.04913804261019742,0.7881955814557022,0.020637315473673822,0.4402353051525224,0.07264624800769241,0.3424246879263015,0.01837778651242606
53,0.7315938836170048,0.048995006193802974,0.7908028678369876,0.020227616473011262,0.44007949246597755,0.07441802775494641,0.3387273311897781,0.01715051519597533
54,0.734811565731834,0.05086435816842127,0.7951244513842841,0.02166553015984331,0.4392612182395945,0.07617931839045267,0.3354324669046022,0.01735493034718234
55,0.7351584022038568,0.05514038147913323,0.7980042695678854,0.02073144593114321,0.43859795389780054,0.0772609470749037,0.33325032252272496,0.017068929812201452
56,0.7349380165289257,0.061102592468575856,0.8000310284954419,0.02392655150196701,0.44249250678928076,0.08164619717718175,0.33105713061758046,0.01855512696445134
57,0.7337457661563473,0.06134722056511187,0.8019861562497909,0.024981675486821824,0.4426879454759717,0.08163030417757385,0.3296988317467209,0.018484577435330524
58,0.7364811238039219,0.06294274272295228,0.8020280172717456,0.023032816437590958,0.44139536411810526,0.08282370330220859,0.3275535260894794,0.017627211818444812
59,0.7377758896441424,0.06403805371202402,0.8072235014602421,0.02281480526174192,0.4447981262579545,0.0873471033702647,0.325005504839877,0.018069651719345648
60,0.7377758896441424,0.06403805371202402,0.8114373427803543,0.024593090639568264,0.4474111080350437,0.09073367482626597,0.32118546280712196,0.019886588593881954
61,0.7365957165520889,0.06423193349883449,0.8125415698374594,0.025749719731076013,0.44728972811824547,0.0901421196579107,0.31918954437696406,0.019973597330720766
62,0.7322563047610087,0.062357451230404704,0.8161990591540803,0.022622672253492408,0.4481290981522532,0.09156981491345431,0.3159946937116456,0.019458061448603174
63,0.7318909504653001,0.06735600776535351,0.8207673967979799,0.02830788956604132,0.44837493050655447,0.09247392590314339,0.3130495446469524,0.020410810563953156
64,0.7342575642353197,0.06533673705246035,0.823479576932496,0.025650917188356076,0.4499695781577994,0.09446719377233048,0.31130315317274604,0.02090400609827662
65,0.7310055317149945,0.06589765931346915,0.8236513910300388,0.02596553261720124,0.4494980568830341,0.0946586208351707,0.30945784481695665,0.021029358233605376
66,0.7285509479215679,0.06477581120382979,0.82461063372348,0.025493788691901734,0.4491747726131467,0.0950365041670951,0.30759566321214626,0.021219972275066102
67,0.7304358383630675,0.06207977222787902,0.8270023074196949,0.023869973296487858,0.4446004591037075,0.09198993278946722,0.30542832482966414,0.020261644433760453
68,0.7333262652067276,0.06050726837186477,0.8299203168958929,0.02555487801451296,0.44504116950777445,0.09396385204018233,0.30327562774736994,0.020451857928392624
69,0.7320149617711126,0.05838244043726296,0.8332111501659224,0.024121146091101296,0.44479613179763494,0.09483278116754569,0.3002958506933051,0.019592286267601115
70,0.7296333949508362,0.05764445944862054,0.8338165718349855,0.02438057964000968,0.4438659678111196,0.09685001162120281,0.2983059294769156,0.018741437122077632
71,0.7307762520936933,0.057319837763051044,0.8347888849878107,0.025430904793728355,0.4455612230998286,0.09820043859319158,0.2959212860289783,0.019341721907096484
72,0.729485929513048,0.055224762524302244,0.8338587177970942,0.02561474227101929,0.4477911442981976,0.10056863313578922,0.2945851202914874,0.019365485545902353
73,0.729673918285793,0.05397204549256031,0.8377529885879712,0.025339529737081704,0.4504850366357143,0.10228676000380735,0.29073563479073417,0.019440562172814785
74,0.729673918285793,0.05397204549256031,0.8409717349077608,0.029790198821171666,0.4520194692580132,0.10263636105479303,0.2880802664355301,0.020387575981165355
75,0.7307812017503599,0.05334434489667603,0.8422642581241625,0.029504477214621776,0.4529530144955555,0.10442510557405098,0.2855180001780881,0.02049834534776295
76,0.7350633394642025,0.049324395087659345,0.845851116788394,0.026788648057039264,0.451406702350473,0.10293380977837749,0.28235254883338934,0.019928576972498193
77,0.7318931475029036,0.05258922272292482,0.8470566869138905,0.02499794378369209,0.4528739849731534,0.10401385247048872,0.280991723694048,0.019571018629143108
78,0.7326980468904801,0.05666948859190906,0.8498801414729984,0.02196970879095326,0.4522405912849434,0.1049071927772359,0.2778911445352051,0.018113120118661438
79,0.7326980468904801,0.05666948859190906,0.8516727483099741,0.021990206260545354,0.4523558693808317,0.1066602006672736,0.27510409507847566,0.018070445845009643
80,0.7358726500650834,0.06222177865279338,0.8566653385161315,0.02136681390260446,0.45427660554746724,0.10836855064817164,0.2733069717059847,0.01949870701977114
81,0.7380379420047835,0.061120287530973295,0.8605980761434571,0.02118954859213515,0.4536700615616117,0.10800522090156986,0.27072788220646504,0.020145076544278724
82,0.7380379420047835,0.061120287530973295,0.8607528048296247,0.022529192507977625,0.45343533441529144,0.10781802773626445,0.2697867737009437,0.02021478096236716
83,0.7387090852554722,0.06340357220189702,0.8619308242874052,0.024815123413156868,0.45179996652881504,0.10673129970065541,0.267586689252891,0.020547059446881646
84,0.7366343445980543,0.06541461007135874,0.8636499028268464,0.02300098412225108,0.45196098325743767,0.10639899773491183,0.26537708662277737,0.021388493308944292
85,0.7415658518788093,0.06856087230596626,0.8671298658767501,0.022642227270394645,0.4551963270990874,0.11142124599557254,0.26330425394224993,0.0223126391280286
86,0.7384522934633171,0.0703639767291044,0.8663440112598539,0.023162079667733128,0.4567442505149167,0.11342003095375287,0.261627616317363,0.022815982979953044
87,0.7384522934633171,0.0703639767291044,0.8684615767188744,0.023069179466494245,0.4565580252941056,0.11333308981212294,0.25982909422981587,0.022126769081051115
88,0.7393075865516809,0.07314856279063543,0.8695864827386514,0.02260295108644623,0.4576478963559384,0.11200813222319796,0.25745301742596827,0.022614489636019607
89,0.740477332160403,0.07733602080664109,0.8717211898438432,0.021628273648164744,0.458478332493121,0.11420085783770034,0.2550113309492734,0.021850071187006024
90,0.740477332160403,0.07733602080664109,0.8727577680163636,0.01828723502475532,0.4577478704511062,0.1144132688008235,0.2536769758719865,0.020917553297898545
91,0.741252423361202,0.07313545591593949,0.8752304338537129,0.01678407319466877,0.45722389447051864,0.11296920303446437,0.2521302484391647,0.020622719211365177
92,0.7392347068257689,0.07404498356659392,0.8744355007934483,0.018631924111127712,0.45745197718412767,0.11325101590032943,0.25140781281650637,0.02066789357354899
93,0.738789739856975,0.07196059708058097,0.8755415318702713,0.019300963076599117,0.4580124285605868,0.11243408941645011,0.25003669757101854,0.020487960669481945
94,0.7346722857887336,0.07506470613554866,0.878547845869892,0.020709931532751455,0.4598765647303896,0.11244844863601883,0.24788473476146788,0.02126691910095492
95,0.735777812241522,0.07544451083411198,0.8792039480068923,0.024109071077737142,0.4592069620089713,0.11307985154540273,0.24625631652135324,0.021781287542670988
96,0.7345949867491202,0.07711452821293784,0.881726526113475,0.023598921292266668,0.4584907207689504,0.11410521696941751,0.24534825481390915,0.021501898952205143
97,0.7336694386039757,0.07635660433028878,0.8821501203275076,0.024801834785326958,0.4600041939175009,0.11538855463265994,0.24356337783308288,0.022816307381292006
98,0.7336694386039757,0.07635660433028878,0.8830771124694217,0.02209964996687617,0.459482300452541,0.11510102148631053,0.2424521243389675,0.022939763567720255
99,0.7352774953947975,0.07575142501704306,0.8849475860694096,0.022487217783900143,0.4596277674573345,0.11618492831064292,0.24025353913371164,0.02372401348565282
100,0.737282643748679,0.07724523760495178,0.8873338840763101,0.022924495394661647,0.45855603978253406,0.11689897254162772,0.23855014735474941,0.024926902382589218
101,0.7373695317902615,0.07678201051122827,0.8884029309231044,0.02196817787081102,0.4594769703067619,0.11688993864823537,0.23746453096276215,0.025168378727050862
102,0.7353643834363799,0.07528189925969914,0.8884719322422064,0.023814951606859057,0.45930044368726985,0.11608921995995779,0.23571068591201255,0.026037429491757375
103,0.7359904967468568,0.07908957963621101,0.8903281857930068,0.021414003263633116,0.4602462119755678,0.1168389263977061,0.2335956067296913,0.025773686149241002
104,0.7399350539784046,0.07638094157460919,0.8918658887178037,0.02078824061948264,0.4599049196159493,0.11609067802389317,0.2321359196462532,0.026395175257315866
105,0.743584828516239,0.07100004376592861,0.8929042799376194,0.020647583541952574,0.4594208538584283,0.11540943524227566,0.23110217133262526,0.026469976400556684
106,0.7413809717669275,0.07367747522696229,0.894185701991225,0.020686479090401683,0.4610559782736897,0.11715408929612392,0.22933223517805423,0.026659286012287012
107,0.7423716715999802,0.07587809374578747,0.8946073668403708,0.02068106140698046,0.4607815733881095,0.11656731991767456,0.2280632288612634,0.026011766458533547
108,0.7430220781040454,0.07647232829504379,0.8950356726315538,0.021245267940880767,0.45986258547712106,0.11856521807747017,0.2266287551401323,0.02629012069209746
109,0.7430220781040454,0.07647232829504379,0.897119090118068,0.02251622972122809,0.46020445293136464,0.11880873439623355,0.2250103784103415,0.02632328953655535
110,0.7418972187114694,0.07703995366044887,0.8975304882669866,0.024389171916543828,0.46209435929451653,0.120291718148899,0.2235544457347966,0.027493797912973707
111,0.7410537983325651,0.07430971776916515,0.8978866497821636,0.02368542698264445,0.46088670504893176,0.11988890067760634,0.22225035788011746,0.027237722630014165
112,0.7406992664817518,0.07945244667831855,0.8993138402920458,0.024479826580896973,0.4615065736703392,0.12097697077993017,0.22087259439026327,0.026951300047058514
113,0.7445395122574812,0.08284227802122202,0.9002710701299105,0.02568834932826923,0.461143815888747,0.12106284474551411,0.2195429937806192,0.02650096932441814
114,0.7445395122574812,0.08284227802122202,0.8999404754518558,0.023945944491895587,0.4617457081624627,0.1189933690945167,0.2184471968419031,0.026470122098281774
115,0.7477805006823152,0.08018495431049148,0.8998630931808286,0.02304246115863177,0.4615882400233219,0.11803485292786499,0.2172969132408517,0.02709771475051857
116,0.7471910646730319,0.08075339962097126,0.9009305810281196,0.02305060844995735,0.46153971572253755,0.11973691545495892,0.2153368300951227,0.027854340349609544
117,0.7483007420923867,0.07976879716080293,0.9022026352779982,0.02232511833622713,0.46255910009729295,0.12023945463437925,0.21388293394074576,0.028099313642824655
118,0.7456900194816642,0.07522007495922005,0.9029030523499832,0.021239716422790395,0.4636286794584172,0.11940349137231547,0.21273359505102474,0.02797525588762928
119,0.7456900194816642,0.07522007495922005,0.9034029228967068,0.022309933171207517,0.4640253670323199,0.11928589971073032,0.2113069414697212,0.027906393921498594
120,0.7456900194816642,0.07522007495922005,0.905014132605469,0.022371013962862535,0.46541008600741246,0.12236952581630768,0.20960929806463052,0.028133344360775057
121,0.7469803420623095,0.07643021538779227,0.9057909809478322,0.022720722338014806,0.46474005943285696,0.12158286175098657,0.20870097469764967,0.028359660495080017
122,0.7447458052503786,0.07804558566819358,0.9074238428485252,0.021349527477376375,0.46473410758424427,0.12095815683776578,0.2076286940380503,0.02824247673145734
123,0.7447508793849774,0.07905007345743206,0.908979620554528,0.022134285137985002,0.46545666482253517,0.11991012304367657,0.20632427285314922,0.028897566465785948
