iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.6158047559051785,0.15193882731025393,0.627443580799401,0.1325997358495406,0.6455776734006811,0.019973017460300786,0.6457672566027569,0.018629547740979576
1,0.7010510768057937,0.05253795679219645,0.6952296382483201,0.04682656906707218,0.5985714885053153,0.01900912317607732,0.5999929450503909,0.017104181920438662
2,0.7059474542502425,0.05336390845790025,0.6983622031411062,0.03320817363998186,0.5592682679939499,0.021555232625065493,0.5611665624150498,0.016511931661055284
3,0.7396380370240847,0.05786818251624851,0.7296319011458736,0.02019375448104174,0.5430116658981932,0.02254011192354574,0.5452322605070405,0.01544154747376701
4,0.7293115643752375,0.06060421847966371,0.7302610872961977,0.02098148276772869,0.5272522622042708,0.0320689319944658,0.5263420607872261,0.02585663059205173
5,0.7181868959183277,0.07672065566313542,0.7189033806623767,0.03791294094731751,0.5143696053713284,0.03318349167630022,0.5142262240430588,0.025865119709668115
6,0.733819504277854,0.03660017379226293,0.7260429636453691,0.0334326039498019,0.5024573837345111,0.030369102080458163,0.5010957984339552,0.020421151008396966
7,0.7281172756541121,0.03063960520482113,0.7147208017986239,0.026072313589194446,0.49417133836483285,0.02923689350350738,0.4929164592493578,0.014018286756669742
8,0.7223854676578861,0.0378878283366466,0.7252859028755766,0.027926207593028888,0.4884868228387201,0.030687263406212906,0.48695028010058283,0.017975314155675402
9,0.7274694262534896,0.030886879452288664,0.725492990553007,0.03311451029057831,0.4837734613400821,0.03219571935176226,0.48187095506676575,0.018387704829769393
10,0.7099644422393121,0.033556278579014165,0.7234832402983613,0.039819107612807984,0.4797564736624877,0.029883010129628986,0.4749571499750397,0.016215159876584517
11,0.7073322024460953,0.032303030192068295,0.7242851346086848,0.036784887794067064,0.47408799444542726,0.026061872392662208,0.4675303400519294,0.016836141426010618
12,0.7160677454787928,0.03921790846499559,0.724974227831834,0.03724950909784922,0.4720320952938971,0.025198225740334555,0.46443965089989325,0.01938476170453578
